warehouse_id,product_id,on_hand_qty,on_order_qty
WH-ATL,P-1001,830,100
WH-ATL,P-1002,2434,100
WH-ATL,P-1003,1813,0
WH-ATL,P-1004,307,0
WH-ATL,P-1005,804,0
WH-ATL,P-1006,290,0
WH-ATL,P-1007,904,100
WH-ATL,P-1008,189,0
WH-ATL,P-1009,160,0
WH-ATL,P-1010,13,100
WH-ATL,P-1011,2906,0
WH-ATL,P-1012,297,0
WH-ATL,P-1013,951,0
WH-ATL,P-1014,6,100
WH-ATL,P-1015,1902,50
WH-DAL,P-1001,2973,100
WH-DAL,P-1002,677,50
WH-DAL,P-1003,1998,100
WH-DAL,P-1004,769,0
WH-DAL,P-1005,2706,0
WH-DAL,P-1006,279,0
WH-DAL,P-1007,303,0
WH-DAL,P-1008,4,0
WH-DAL,P-1009,49,0
WH-DAL,P-1010,12,0
WH-DAL,P-1011,222,0
WH-DAL,P-1012,34,50
WH-DAL,P-1013,27,100
WH-DAL,P-1014,49,50
WH-DAL,P-1015,2028,0
WH-CHI,P-1001,812,50
WH-CHI,P-1002,1037,0
WH-CHI,P-1003,191,0
WH-CHI,P-1004,31,50
WH-CHI,P-1005,93,50
WH-CHI,P-1006,75,50
WH-CHI,P-1007,942,0
WH-CHI,P-1008,15,0
WH-CHI,P-1009,194,0
WH-CHI,P-1010,9,0
WH-CHI,P-1011,2882,0
WH-CHI,P-1012,397,0
WH-CHI,P-1013,914,0
WH-CHI,P-1014,78,100
WH-CHI,P-1015,892,0
WH-LAX,P-1001,1181,100
WH-LAX,P-1002,636,0
WH-LAX,P-1003,165,100
WH-LAX,P-1004,812,0
WH-LAX,P-1005,1896,0
WH-LAX,P-1006,24,0
WH-LAX,P-1007,388,100
WH-LAX,P-1008,11,100
WH-LAX,P-1009,11,100
WH-LAX,P-1010,77,0
WH-LAX,P-1011,788,0
WH-LAX,P-1012,334,0
WH-LAX,P-1013,385,0
WH-LAX,P-1014,11,100
WH-LAX,P-1015,1887,0
WH-NYC,P-1001,679,0
WH-NYC,P-1002,2855,0
WH-NYC,P-1003,862,100
WH-NYC,P-1004,322,100
WH-NYC,P-1005,207,0
WH-NYC,P-1006,641,0
WH-NYC,P-1007,377,100
WH-NYC,P-1008,7,0
WH-NYC,P-1009,48,0
WH-NYC,P-1010,50,0
WH-NYC,P-1011,136,0
WH-NYC,P-1012,40,0
WH-NYC,P-1013,252,50
WH-NYC,P-1014,57,0
WH-NYC,P-1015,230,0
WH-SEA,P-1001,1100,100
WH-SEA,P-1002,857,0
WH-SEA,P-1003,1139,0
WH-SEA,P-1004,684,0
WH-SEA,P-1005,812,100
WH-SEA,P-1006,762,100
WH-SEA,P-1007,385,0
WH-SEA,P-1008,198,0
WH-SEA,P-1009,121,0
WH-SEA,P-1010,56,0
WH-SEA,P-1011,1072,0
WH-SEA,P-1012,207,50
WH-SEA,P-1013,68,50
WH-SEA,P-1014,72,0
WH-SEA,P-1015,178,50
